ENSG	ENST	CDS_LENGTH	ID	chr
ENSG00000000003	ENST00000373020	738	TSPAN6	X
ENSG00000000005	ENST00000373031	954	TNMD	X
ENSG00000000419	ENST00000371584	886	DPM1	20
ENSG00000000457	ENST00000367770	2229	SCYL3	1
ENSG00000000460	ENST00000286031	2562	C1orf112	1
ENSG00000000938	ENST00000374005	1590	FGR	1
ENSG00000000971	ENST00000367429	3696	CFH	1
ENSG00000001036	ENST00000002165	1404	FUCA2	6
ENSG00000001084	ENST00000229416	1914	GCLC	6
ENSG00000001167	ENST00000341376	1044	NFYA	6
ENSG00000001460	ENST00000337248	1005	STPG1	1
ENSG00000001461	ENST00000374399	1221	NIPAL3	1
ENSG00000001497	ENST00000374811	2205	LAS1L	X
ENSG00000001561	ENST00000321037	1362	ENPP4	6
ENSG00000001617	ENST00000002829	2358	SEMA3F	3
ENSG00000001626	ENST00000003084	4443	CFTR	7
ENSG00000001629	ENST00000265742	3270	ANKIB1	7
ENSG00000001630	ENST00000003100	1530	CYP51A1	7
ENSG00000001631	ENST00000340022	2211	KRIT1	7
ENSG00000002016	ENST00000358495	1257	RAD52	12
ENSG00000002330	ENST00000309032	507	BAD	11
ENSG00000002549	ENST00000226299	1560	LAP3	4
ENSG00000002586	ENST00000449611	604	CD99	X
ENSG00000002587	ENST00000002596	924	HS3ST1	4
ENSG00000002726	ENST00000416793	2313	ABP1	7
ENSG00000002745	ENST00000222462	1098	WNT16	7
ENSG00000002746	ENST00000395891	4821	HECW1	7
ENSG00000002822	ENST00000265854	2157	MAD1L1	7
ENSG00000002834	ENST00000318008	786	LASP1	17
ENSG00000002919	ENST00000359238	813	SNX11	17
ENSG00000002933	ENST00000004103	708	TMEM176A	7
ENSG00000003056	ENST00000000412	834	M6PR	12
ENSG00000003096	ENST00000539496	1977	KLHL13	X
ENSG00000003137	ENST00000001146	1539	CYP26B1	2
ENSG00000003147	ENST00000422063	1539	ICA1	7
ENSG00000003249	ENST00000568838	837	DBNDD1	16
ENSG00000003393	ENST00000264276	4974	ALS2	2
ENSG00000003400	ENST00000286186	1569	CASP10	2
ENSG00000003402	ENST00000309955	1443	CFLAR	2
ENSG00000003436	ENST00000233156	915	TFPI	2
ENSG00000003509	ENST00000002125	1326	C2orf56	2
ENSG00000003756	ENST00000347869	2448	RBM5	3
ENSG00000003987	ENST00000180173	1983	MTMR7	8
ENSG00000003989	ENST00000004531	2097	SLC7A2	8
ENSG00000004059	ENST00000000233	543	ARF5	7
ENSG00000004139	ENST00000457710	2073	SARM1	17
ENSG00000004399	ENST00000324093	5778	PLXND1	3
ENSG00000004455	ENST00000354858	720	AK2	1
ENSG00000004468	ENST00000226279	903	CD38	4
ENSG00000004478	ENST00000001008	1380	FKBP4	12
ENSG00000004487	ENST00000400181	2631	KDM1A	1
